,uik,citizens,box,transfer_box,valid_tickets,invalid_tickets,degtyarev,kim,mamedov,parfenov
0,396,1546,691,21,668,44,424,149,15,80
1,397,1669,669,18,649,38,402,157,12,78
2,398,1601,616,21,597,40,377,120,11,89
3,399,1408,399,220,582,37,390,108,6,78
4,400,1550,494,38,519,13,320,118,13,68
5,401,1392,443,426,847,22,677,100,8,62
6,402,1412,564,24,561,27,411,73,19,58
7,403,1479,592,14,575,31,371,108,13,83
8,404,1578,565,17,561,21,454,52,14,41
9,405,1464,462,308,750,20,482,136,17,115
10,406,1479,417,11,415,13,250,95,9,61
11,407,1538,461,311,737,35,562,102,13,60
12,408,1567,591,16,576,31,352,147,8,69
13,409,1701,572,10,547,35,340,115,6,86
14,410,1531,598,52,625,25,453,107,15,50
15,411,1604,438,286,705,19,500,126,12,67
16,412,1783,640,15,628,27,394,128,15,91
17,413,1530,614,305,875,44,596,175,27,77
18,414,1390,551,6,532,25,323,122,14,73
19,415,1419,525,10,511,24,308,121,17,65
20,416,141,141,0,133,8,124,6,0,3
21,417,433,117,59,169,7,126,18,2,23
22,418,1443,511,260,712,59,489,115,28,80
23,419,1153,494,15,509,0,351,83,12,63
24,420,1595,623,18,612,29,382,135,22,73
25,421,1117,424,11,407,28,313,65,10,19
26,422,1168,353,49,400,2,283,60,11,46
27,423,1460,528,12,534,6,391,87,15,41
28,424,511,421,0,410,11,342,43,10,15
29,425,242,104,18,119,3,92,14,7,6
30,426,1044,281,121,387,15,283,69,9,26
31,427,143,44,6,44,6,30,7,3,4
32,428,64,17,5,21,1,17,3,1,0
33,429,1433,355,243,564,34,482,44,15,23
34,430,415,190,57,243,4,206,27,1,9
35,431,445,138,107,230,15,166,32,10,22
36,432,287,178,5,174,9,129,31,2,12
37,433,669,163,94,246,11,180,42,6,18
38,434,63,38,0,38,0,33,2,0,3
39,435,1578,328,516,812,32,610,128,13,61
40,436,183,123,0,121,2,103,13,2,3
41,437,85,60,0,60,0,53,7,0,0
42,461,125,74,6,75,5,58,8,3,6
43,462,707,343,103,429,17,294,86,12,37
44,463,176,88,12,99,1,58,24,5,12
45,464,639,270,60,313,17,215,54,12,32
46,439,1018,310,46,326,30,201,69,8,48
47,440,1284,550,22,534,38,288,163,24,59
48,441,1500,1456,44,1500,0,1365,100,20,15
49,442,1094,316,28,319,25,187,74,14,44
50,443,608,163,1,157,7,83,44,6,24
51,444,476,174,10,177,7,102,36,11,28
52,445,873,250,21,252,19,140,70,7,35
53,446,889,256,43,283,16,160,70,14,39
54,447,692,221,10,218,13,124,52,5,37
55,448,1074,472,23,463,32,286,98,13,66
56,449,1113,539,9,509,39,305,123,19,62
57,450,1091,424,25,424,25,247,105,17,55
58,451,590,203,34,223,14,136,50,8,29
59,451,590,203,34,223,14,136,50,8,29
60,452,172,66,6,71,1,57,8,2,4
61,453,524,143,32,159,16,95,36,6,22
62,454,61,25,15,39,1,20,13,1,5
63,455,359,83,22,97,8,61,20,3,13
64,456,373,65,93,151,7,77,54,5,15
65,457,110,47,5,45,7,26,7,0,12
66,458,1408,458,93,540,11,367,113,11,49
67,459,765,166,90,249,7,184,37,3,25
68,460,423,123,18,132,9,87,28,3,14
69,740,627,255,17,257,15,144,67,19,27
70,741,388,100,20,117,3,82,20,5,10
71,742,592,281,4,272,13,156,72,20,24
72,743,1659,553,24,545,32,329,139,25,52
73,744,787,312,13,304,21,175,87,9,33
74,745,1014,276,23,281,18,167,79,13,22
75,746,2284,732,39,726,45,399,209,29,89
