,uik,citizens,box,transfer_box,valid_tickets,invalid_tickets,kravchuk,rotar,saidov,sidorov,singur,stelmah,chuprov
0,195,2501,694,33,715,12,314,6,17,239,10,54,75
1,196,2285,689,38,718,9,324,8,8,249,15,55,59
2,197,1816,514,13,518,9,221,5,9,180,13,39,51
3,198,890,255,6,250,11,103,3,2,87,5,19,31
4,199,2362,685,15,683,17,327,6,8,232,13,41,56
5,200,873,258,12,265,5,111,2,5,100,9,10,28
6,201,2105,626,28,642,12,303,0,9,218,18,35,59
7,202,1977,543,128,660,11,330,8,12,212,11,27,60
8,203,1629,490,22,500,12,210,10,6,177,12,32,53
9,204,1853,503,16,504,15,230,6,8,183,7,30,40
10,205,2279,697,21,700,18,336,1,5,239,7,37,75
11,206,1803,516,20,527,9,248,5,9,169,11,28,57
12,207,1763,471,19,479,11,223,2,5,176,8,20,45
13,208,2517,449,18,452,15,215,4,7,147,10,32,37
14,209,2675,779,6,770,15,336,5,10,283,12,50,74
15,210,2208,696,22,699,19,320,7,10,235,20,39,68
16,211,2221,708,7,707,8,341,2,11,222,8,39,84
17,212,2738,746,21,748,19,373,15,14,218,15,40,73
18,213,2396,693,18,693,18,298,7,7,233,12,33,103
19,214,2140,613,21,619,15,289,6,4,206,7,39,68
20,215,1748,542,18,550,10,251,15,12,179,12,27,54
21,216,2223,729,24,733,20,347,13,12,232,17,39,73
22,217,1814,572,11,568,15,240,8,6,191,10,44,69
23,218,2095,622,15,622,15,277,12,5,208,5,42,73
24,219,2354,700,20,704,16,335,6,8,208,13,39,95
25,220,1906,596,16,597,15,288,4,1,214,5,15,70
26,221,1980,603,13,604,12,261,9,13,230,17,15,59
27,222,2496,709,24,716,17,352,8,9,250,4,23,70
28,223,2652,801,20,814,7,389,7,8,275,12,36,87
29,224,2920,817,21,819,19,417,7,8,263,13,39,72
30,100,1984,439,76,507,8,271,10,3,146,7,17,53
31,101,2459,475,81,539,17,284,6,8,156,16,12,57
32,102,1823,420,15,423,12,181,4,6,179,8,9,36
33,103,2564,552,25,542,35,257,4,4,177,17,26,57
34,104,2225,549,27,566,10,259,9,8,186,11,25,68
35,105,1748,526,3,505,24,294,4,0,136,9,15,47
